ID,ページ,セクション,種別,確定文言,ステータス,備考,最終更新日
DX-HERO-04,DX（service-dx）,HERO,リンク,自動化できる業務を相談する →,検討中,service-dx,2026-08-20
DX-PROBLEM-01,DX（service-dx）,こんな課題,見出し,こんな課題はありませんか？,検討中,service-dx,2026-08-20
DX-PROBLEM-02,DX（service-dx）,こんな課題,本文,一つでも当てはまるなら、減らせる仕事があるかもしれません。まずは業務の整理から始めます。,検討中,service-dx,2026-08-20
DX-PROBLEM-03,DX（service-dx）,こんな課題,項目,Excelやシステムへの転記が多い ／ 毎月同じ資料を手作業している ／ 請求書作成・送付に時間がかかる ／ 社内情報がバラバラ ／ ChatGPTを契約したが活用できていない ／ DX担当者がいない ／ 何から改善すればいいかわからない,検討中,service-dx problems（7項目）,2026-08-20
DX-OUTCOME-01,DX（service-dx）,何が変わる,見出し,何が変わる？,検討中,service-dx,2026-08-20
DX-OUTCOME-02,DX（service-dx）,何が変わる,本文,大切なのは、どのツールを使うかではありません。仕事がどう変わるか、です。,検討中,service-dx,2026-08-20
DX-OUTCOME-03,DX（service-dx）,何が変わる,項目,作業時間を減らす。／ ミスを減らす。／ 属人化を減らす。（各説明文あり）,検討中,service-dx outcomes（3項目）,2026-08-20
DX-CASE-01,DX（service-dx）,CASE,見出し,業務を、余白に変えた事例。,検討中,service-dx,2026-08-20
DX-CASE-02,DX（service-dx）,CASE,事例,SNS自動化：約80％削減。投稿作業を、30分 → 約6分へ。投稿の企画から公開までの流れを自動化し、毎日の作業を大幅に削減。,検討中,service-dx,2026-08-20
DX-CASE-03,DX（service-dx）,CASE,事例,請求書発行の自動化：手作業 → 自動化（発行・送付を仕組み化）。手作業だった請求書の作成・送付を自動化し、転記の手間をなくした。,検討中,service-dx,2026-08-20
DX-CASE-04,DX（service-dx）,CASE,事例,在庫管理の一元化：紙＋Excel → 一元管理（二重管理を解消）。紙とExcelに分かれていた在庫情報を一元管理し、探す・照合する手間を削減。,検討中,service-dx,2026-08-20
DX-MENU-01,DX（service-dx）,できること,見出し,できること。,検討中,service-dx,2026-08-20
DX-MENU-02,DX（service-dx）,できること,項目,AI活用支援 ／ AI研修 ／ 業務整理・DXコンサルティング ／ AI・RPA・GASによる業務自動化 ／ Notionなどを使った情報整理 ／ AIエージェント構築,要確認,service-dx menu（6項目）。★確定サービス名リスト（SERVICE-DX-LIST）と項目名・粒度が相違。要整合,2026-08-20
DX-PROCESS-01,DX（service-dx）,進め方,見出し,進め方。,検討中,service-dx,2026-08-20
DX-PROCESS-02,DX（service-dx）,進め方,ステップ,01 相談 ／ 02 業務整理 ／ 03 改善提案 ／ 04 導入・開発 ／ 05 運用・改善（各説明文あり）,検討中,service-dx steps（5段階）,2026-08-20
DX-GOAL-01,DX（service-dx）,GOAL,見出し,AIを使える会社ではなく、仕事を改善し続けられる会社へ。,検討中,service-dx,2026-08-20
DX-CTA-01,DX（service-dx）,CTA,見出し,ご相談はこちらから,検討中,service-dx CTA帯,2026-08-20
DX-CTA-02,DX（service-dx）,CTA,本文,「何をAI化すればいいかわからない」という段階でも大丈夫です。,検討中,service-dx,2026-08-20
DX-CTA-03,DX（service-dx）,CTA,ボタン,自動化できる業務を相談する →,検討中,service-dx,2026-08-20
BPO-HERO-01,BPO（service-bpo）,HERO,ラベル,BPO,検討中,service-bpo/page.tsx,2026-08-20
BPO-HERO-02,BPO（service-bpo）,HERO,事業コピー,人手不足を、多様な働き方へ。,確定,service-bpo h1。SERVICE-BPO-001と一致,2026-08-20
BPO-HERO-03,BPO（service-bpo）,HERO,本文,採用して人を増やす前に、仕事を外に出すという選択肢があります。カスタマーサクセス。営業支援。SNS。経理・事務。必要な仕事を、必要な分だけ支えます。,検討中,service-bpo,2026-08-20
BPO-HERO-04,BPO（service-bpo）,HERO,リンク,外注できる業務を相談する →,検討中,service-bpo,2026-08-20
BPO-PAIN-01,BPO（service-bpo）,こんな企業に,見出し,こんな企業に。,検討中,service-bpo,2026-08-20
BPO-PAIN-02,BPO（service-bpo）,こんな企業に,項目,求人を出しても応募が来ない ／ 社員が事務作業に追われている ／ 1人採用するほどの仕事量ではない ／ CSやSNSをやりたいが担当者がいない ／ 一時的に人手が必要 ／ 何を外注できるかわからない,検討中,service-bpo painPoints（6項目）,2026-08-20
BPO-MSG-01,BPO（service-bpo）,重要メッセージ,見出し,その仕事、本当に採用が必要ですか？,検討中,service-bpo,2026-08-20
BPO-MSG-02,BPO（service-bpo）,重要メッセージ,本文,自動化できる仕事は、DXで減らす。人が必要な仕事だけ、BPOで支える。,検討中,service-bpo,2026-08-20
BPO-MSG-03,BPO（service-bpo）,重要メッセージ,強調文,Moments Shareは、採用する・外注する・自動化する、その前に、まず仕事そのものを整理します。,検討中,service-bpo,2026-08-20
BPO-SERVICE-01,BPO（service-bpo）,支えられる仕事,見出し,支えられる仕事。,検討中,service-bpo,2026-08-20
BPO-SERVICE-02,BPO（service-bpo）,支えられる仕事,項目,カスタマーサクセス ／ 営業支援 ／ SNS運用 ／ 経理・事務 ／ その他（各説明文あり）,要確認,service-bpo services（5項目）。★確定サービス名リスト（SERVICE-BPO-LIST）と表記・粒度が相違。要整合,2026-08-20
BPO-DXBPO-01,BPO（service-bpo）,DX×BPO,見出し,自動化できる仕事は減らす。人が必要な仕事だけ支える。,検討中,service-bpo 緑帯,2026-08-20
BPO-DXBPO-02,BPO（service-bpo）,DX×BPO,本文,単に人を増やすのではなく、まず仕事を整理する。,検討中,service-bpo,2026-08-20
BPO-TEAM-01,BPO（service-bpo）,TEAM,見出し,多様な人と、一緒に支える。,検討中,service-bpo,2026-08-20
BPO-TEAM-02,BPO（service-bpo）,TEAM,本文,それぞれの得意を組み合わせて、企業の業務を支えます。,検討中,service-bpo,2026-08-20
BPO-TEAM-03,BPO（service-bpo）,TEAM,項目,専門人材 ／ 副業人材 ／ 子育て中の人 ／ 地域で働く人（各説明文あり）,検討中,service-bpo team（4項目）,2026-08-20
BPO-PROCESS-01,BPO（service-bpo）,進め方,見出し,進め方。,検討中,service-bpo,2026-08-20
BPO-PROCESS-02,BPO（service-bpo）,進め方,ステップ,01 相談 ／ 02 業務整理 ／ 03 業務設計 ／ 04 チーム編成 ／ 05 開始・改善（各説明文あり）,検討中,service-bpo process（5段階）,2026-08-20
BPO-CTA-01,BPO（service-bpo）,CTA,見出し,どの仕事を外に出せるか、一緒に整理します。,検討中,service-bpo CTA帯,2026-08-20
BPO-CTA-02,BPO（service-bpo）,CTA,本文,採用するべきか、外注するべきか迷っている段階からご相談ください。,検討中,service-bpo,2026-08-20
BPO-CTA-03,BPO（service-bpo）,CTA,ボタン,外注できる業務を相談する →,検討中,service-bpo,2026-08-20
PRODUCE-HERO-01,地域プロデュース（service-produce）,HERO,ラベル,地域プロデュース,検討中,service-produce/page.tsx,2026-08-20
PRODUCE-HERO-02,地域プロデュース（service-produce）,HERO,事業コピー,地域課題を、挑戦のきっかけへ。,確定,service-produce h1。SERVICE-REGION-001と一致,2026-08-20
PRODUCE-HERO-03,地域プロデュース（service-produce）,HERO,本文,地域の課題と、人や企業の「やってみたい」をつなぐ。人をつなぎ、仲間を集め、新しいプロジェクトや事業が生まれるきっかけと場をつくります。,検討中,service-produce,2026-08-20
PRODUCE-HERO-04,地域プロデュース（service-produce）,HERO,リンク,一緒にプロジェクトをつくる ／ 取り組みを見る →,検討中,service-produce,2026-08-20
PRODUCE-PHIL-01,地域プロデュース（service-produce）,私たちの考え,見出し,地域愛を、地域発展の力に。,検討中,service-produce（DX伴走の事業ミッションと同語）,2026-08-20
PRODUCE-PHIL-02,地域プロデュース（service-produce）,私たちの考え,本文,地域を良くするために、最初から大きなことをする必要はないと思っています。好きなお店に行く。面白い人を誰かに紹介する。地域のイベントに参加する。「こんなことをやってみたい」と声にする。,検討中,service-produce,2026-08-20
PRODUCE-PHIL-03,地域プロデュース（service-produce）,私たちの考え,本文,そんな一人ひとりの小さな行動が、人をつなぎ、新しい挑戦を生み、やがて地域を動かす力になっていく。,検討中,service-produce,2026-08-20
PRODUCE-PHIL-04,地域プロデュース（service-produce）,私たちの考え,強調文,私たちは、地域への「好き」を、行動へ変えていきます。,検討中,service-produce,2026-08-20
PRODUCE-PROJ-01,地域プロデュース（service-produce）,PROJECTS,見出し,挑戦を、カタチにする。,検討中,service-produce,2026-08-20
PRODUCE-PROJ-02,地域プロデュース（service-produce）,PROJECTS,本文,人・企業・地域をつなぎながら、西尾で取り組んでいるプロジェクト。一つひとつが、次の挑戦者を呼ぶ入り口になる。,検討中,service-produce,2026-08-20
PRODUCE-PROJ-03,地域プロデュース（service-produce）,PROJECTS,事例,01 西尾働き方図鑑（メディア）：地域で働く人・企業を取材して発信するメディア。「こんな仕事があるんだ」という出会いが、地元で働く選択肢を広げる。,検討中,service-produce projects[0],2026-08-20
PRODUCE-PROJ-04,地域プロデュース（service-produce）,PROJECTS,事例,02 西尾筋肉祭り（イベント）：体を動かして地域を盛り上げる体験型イベント。世代を越えた出会いをつくり、地域への愛着を育てる。,検討中,service-produce projects[1],2026-08-20
PRODUCE-PROJ-05,地域プロデュース（service-produce）,PROJECTS,事例,03 AI活用研究会（コミュニティ）：地域の企業・個人がAIを学び合うコミュニティ。現場で使える知識を共有し、挑戦のきっかけをつくる。,検討中,service-produce projects[2]。★確定リストは「地域ベンチャー留学」で相違,2026-08-20
PRODUCE-PROJ-06,地域プロデュース（service-produce）,PROJECTS,事例,その他のプロジェクト（進行中）：地域の「やってみたい」から、新しいプロジェクトが今も生まれ続けています。／ 次の挑戦を持ち込む →,検討中,service-produce projects[3],2026-08-20
PRODUCE-CYCLE-01,地域プロデュース（service-produce）,地域推し活,見出し,好きになることから、地域は動きはじめる。,検討中,service-produce,2026-08-20
PRODUCE-CYCLE-02,地域プロデュース（service-produce）,地域推し活,本文,「好き」から始まる関わりが、応援を生み、行動になり、やがて挑戦と共創へ。その循環が、また次の「好き」を連れてくる。,検討中,service-produce,2026-08-20
PRODUCE-CYCLE-03,地域プロデュース（service-produce）,地域推し活,循環語,知る → 好きになる → 応援する → 関わる → 挑戦する → 共創する → 次の挑戦へ（→ 知るへ戻る）,検討中,service-produce cycle,2026-08-20
PRODUCE-GOAL-01,地域プロデュース（service-produce）,OUR GOAL,見出し,挑戦する人を、一人ずつ増やす。,検討中,service-produce,2026-08-20
PRODUCE-GOAL-02,地域プロデュース（service-produce）,OUR GOAL,本文,イベントを開催すること自体がゴールではありません。地域の中に「自分もやってみよう」と思う人が増えること。一人の挑戦に仲間が集まり、新しい仕事や価値が生まれ、その姿が次の誰かを動かす。そんな挑戦と共創の循環をつくります。,検討中,service-produce,2026-08-20
PRODUCE-MIDGOAL-01,地域プロデュース（service-produce）,中期目標240,見出し,まずは、西尾から。2040年までに、西尾に240の事業を。,検討中,service-produce,2026-08-20
PRODUCE-MIDGOAL-02,地域プロデュース（service-produce）,中期目標240,本文,数を追うことが目的ではありません。一つひとつの事業の裏には、挑戦した人がいます。一人の「やってみたい」から挑戦が始まり、仲間が集まり、仕事や事業が生まれる。その積み重ねが地域に根づいている状態を、西尾からつくります。,検討中,service-produce,2026-08-20
PRODUCE-MIDGOAL-03,地域プロデュース（service-produce）,中期目標240,補足,※ 240事業はVisionではなく、私たちが掲げる中期目標です。,検討中,service-produce。GOAL-2040-001（Vision表現）との位置づけ差に注意,2026-08-20
PRODUCE-HOW-01,地域プロデュース（service-produce）,進め方,見出し,私たちの進め方。,検討中,service-produce,2026-08-20
PRODUCE-HOW-02,地域プロデュース（service-produce）,進め方,ステップ,01 人をつなぐ。／ 02 場をつくる。／ 03 カタチにする。／ 04 次につなぐ。（各説明文あり）,検討中,service-produce howWeWork（4段階）,2026-08-20
PRODUCE-CTA-01,地域プロデュース（service-produce）,CTA,見出し,地域に、一緒に仕掛けませんか。,検討中,service-produce CTA帯,2026-08-20
PRODUCE-CTA-02,地域プロデュース（service-produce）,CTA,本文,「こんなことをやってみたい」から話しましょう。まだアイデアがふわっとしていても大丈夫です。,検討中,service-produce,2026-08-20
PRODUCE-CTA-03,地域プロデュース（service-produce）,CTA,ボタン,一緒にプロジェクトをつくる →,検討中,service-produce,2026-08-20
